40,9139,143
40,9139,143
59,30856,483
32,4495,71
33,4960,78
11,120,2
38,7770,122
35,5984,94
39,8436,132
55,24804,388
22,1330,21
42,10660,167
60,32509,508
56,26235,410
30,3654,58
43,11480,180
47,15180,238
54,23426,367
37,7140,112
52,20825,326
43,11480,180
46,14190,222
25,2024,32
37,7140,112
33,4960,78
27,2600,41
52,20825,326
53,22100,346
60,32509,508
43,11480,180
40,9139,143
35,5984,94
35,5984,94
50,18424,288
32,4495,71
52,20825,326
30,3654,58
41,9880,155
37,7140,112
64,39711,621
60,32509,508
41,9880,155
31,4060,64
48,16215,254
45,13244,207
59,30856,483
53,22100,346
55,24804,388
49,17296,271
43,11480,180
20,969,16
49,17296,271
69,50116,784
13,220,4
38,7770,122
56,26235,410
35,5984,94
47,15180,238
53,22100,346
41,9880,155
57,27720,434
28,2925,46
32,4495,71
30,3654,58
28,2925,46
37,7140,112
33,4960,78
63,37820,591
35,5984,94
49,17296,271
39,8436,132
42,10660,167
33,4960,78
44,12341,193
57,27720,434
52,20825,326
48,16215,254
55,24804,388
55,24804,388
45,13244,207
42,10660,167
64,39711,621
43,11480,180
48,16215,254
66,43680,683
30,3654,58
62,35990,563
65,41664,651
38,7770,122
42,10660,167
33,4960,78
34,5456,86
50,18424,288
53,22100,346
24,1771,28
32,4495,71
55,24804,388
59,30856,483
42,10660,167
44,12341,193
47,15180,238
58,29260,458
40,9139,143
43,11480,180
54,23426,367
58,29260,458
69,50116,784
13,220,4
41,9880,155
44,12341,193
65,41664,651
51,19600,307
49,17296,271
41,9880,155
43,11480,180
57,27720,434
37,7140,112
68,47905,749
43,11480,180
39,8436,132
24,1771,28
36,6545,103
61,34220,535
20,969,16
61,34220,535
57,27720,434
34,5456,86
11,120,2
34,5456,86
54,23426,367
56,26235,410
33,4960,78
71,54740,856
22,1330,21
62,35990,563
16,455,8
54,23426,367
60,32509,508
31,4060,64
44,12341,193
28,2925,46
51,19600,307
41,9880,155
53,22100,346
31,4060,64
44,12341,193
40,9139,143
37,7140,112
37,7140,112
24,1771,28
38,7770,122
39,8436,132
26,2300,36
58,29260,458
47,15180,238
44,12341,193
46,14190,222
41,9880,155
34,5456,86
34,5456,86
33,4960,78
61,34220,535
51,19600,307
33,4960,78
26,2300,36
44,12341,193
67,45760,715
14,286,5
42,10660,167
29,3276,52
24,1771,28
43,11480,180
35,5984,94
33,4960,78
62,35990,563
10,84,2
32,4495,71
21,1140,18
41,9880,155
48,16215,254
40,9139,143
34,5456,86
67,45760,715
31,4060,64
38,7770,122
55,24804,388
32,4495,71
63,37820,591
65,41664,651
46,14190,222
34,5456,86
29,3276,52
35,5984,94
53,22100,346
62,35990,563
37,7140,112
23,1540,25
59,30856,483
41,9880,155
61,34220,535
43,11480,180
30,3654,58
38,7770,122
46,14190,222
38,7770,122
35,5984,94
39,8436,132
40,9139,143
57,27720,434
66,43680,683
31,4060,64
78,73150,1143
31,4060,64
64,39711,621
22,1330,21
43,11480,180
64,39711,621
47,15180,238
42,10660,167
42,10660,167
53,22100,346
40,9139,143
19,816,13
30,3654,58
50,18424,288
53,22100,346
62,35990,563
51,19600,307
66,43680,683
58,29260,458
29,3276,52
36,6545,103
60,32509,508
64,39711,621
51,19600,307
26,2300,36
56,26235,410
48,16215,254
50,18424,288
17,560,9
39,8436,132
47,15180,238
46,14190,222
49,17296,271
57,27720,434
20,969,16
72,57155,894
39,8436,132
56,26235,410
43,11480,180
63,37820,591
56,26235,410
23,1540,25
25,2024,32
30,3654,58
39,8436,132
29,3276,52
27,2600,41
32,4495,71
52,20825,326
20,969,16
60,32509,508
35,5984,94
77,70300,1099
47,15180,238
48,16215,254
9,56,1
38,7770,122
20,969,16
52,20825,326
71,54740,856
49,17296,271
43,11480,180
26,2300,36
51,19600,307
67,45760,715
40,9139,143
37,7140,112
40,9139,143
42,10660,167
29,3276,52
48,16215,254
34,5456,86
58,29260,458
53,22100,346
50,18424,288
57,27720,434
53,22100,346
49,17296,271
34,5456,86
38,7770,122
54,23426,367
63,37820,591
38,7770,122
50,18424,288
74,62196,972
50,18424,288
26,2300,36
52,20825,326
34,5456,86
38,7770,122
56,26235,410
22,1330,21
38,7770,122
54,23426,367
19,816,13
10,84,2
46,14190,222
51,19600,307
24,1771,28
32,4495,71
42,10660,167
45,13244,207
70,52394,819
57,27720,434
30,3654,58
46,14190,222
30,3654,58
52,20825,326
23,1540,25
4,1,1
43,11480,180
40,9139,143
51,19600,307
49,17296,271
43,11480,180
51,19600,307
30,3654,58
33,4960,78
60,32509,508
48,16215,254
37,7140,112
23,1540,25
43,11480,180
52,20825,326
59,30856,483
32,4495,71
65,41664,651
51,19600,307
29,3276,52
36,6545,103
37,7140,112
43,11480,180
10,84,2
39,8436,132
61,34220,535
29,3276,52
52,20825,326
42,10660,167
35,5984,94
39,8436,132
47,15180,238
42,10660,167
45,13244,207
54,23426,367
66,43680,683
46,14190,222
11,120,2
47,15180,238
45,13244,207
62,35990,563
34,5456,86
49,17296,271
37,7140,112
39,8436,132
33,4960,78
36,6545,103
36,6545,103
33,4960,78
23,1540,25
36,6545,103
55,24804,388
44,12341,193
52,20825,326
47,15180,238
48,16215,254
67,45760,715
45,13244,207
19,816,13
38,7770,122
68,47905,749
27,2600,41
40,9139,143
43,11480,180
43,11480,180
63,37820,591
41,9880,155
36,6545,103
19,816,13
38,7770,122
44,12341,193
19,816,13
48,16215,254
21,1140,18
41,9880,155
61,34220,535
61,34220,535
35,5984,94
49,17296,271
71,54740,856
52,20825,326
44,12341,193
21,1140,18
43,11480,180
50,18424,288
42,10660,167
51,19600,307
23,1540,25
41,9880,155
67,45760,715
37,7140,112
63,37820,591
40,9139,143
26,2300,36
49,17296,271
41,9880,155
29,3276,52
15,364,6
40,9139,143
34,5456,86
38,7770,122
41,9880,155
50,18424,288
45,13244,207
47,15180,238
46,14190,222
42,10660,167
41,9880,155
46,14190,222
67,45760,715
43,11480,180
33,4960,78
62,35990,563
59,30856,483
29,3276,52
25,2024,32
46,14190,222
57,27720,434
58,29260,458
50,18424,288
15,364,6
51,19600,307
59,30856,483
42,10660,167
51,19600,307
36,6545,103
31,4060,64
34,5456,86
35,5984,94
48,16215,254
20,969,16
57,27720,434
60,32509,508
43,11480,180
54,23426,367
49,17296,271
43,11480,180
62,35990,563
62,35990,563
17,560,9
22,1330,21
42,10660,167
37,7140,112
40,9139,143
48,16215,254
71,54740,856
31,4060,64
65,41664,651
14,286,5
65,41664,651
20,969,16
43,11480,180
36,6545,103
26,2300,36
55,24804,388
56,26235,410
36,6545,103
36,6545,103
28,2925,46
41,9880,155
31,4060,64
52,20825,326
63,37820,591
54,23426,367
48,16215,254
39,8436,132
60,32509,508
64,39711,621
59,30856,483
44,12341,193
52,20825,326
54,23426,367
58,29260,458
55,24804,388
44,12341,193
61,34220,535
39,8436,132
47,15180,238
53,22100,346
42,10660,167
52,20825,326
48,16215,254
61,34220,535
45,13244,207
38,7770,122
54,23426,367
59,30856,483
40,9139,143
54,23426,367
49,17296,271
59,30856,483
33,4960,78
60,32509,508
28,2925,46
47,15180,238
50,18424,288
37,7140,112
54,23426,367
40,9139,143
26,2300,36
32,4495,71
34,5456,86
49,17296,271
17,560,9
44,12341,193
44,12341,193
47,15180,238
63,37820,591
28,2925,46
37,7140,112
64,39711,621
62,35990,563
17,560,9
34,5456,86
25,2024,32
51,19600,307
58,29260,458
43,11480,180
65,41664,651
37,7140,112
57,27720,434
35,5984,94
41,9880,155
41,9880,155
55,24804,388
54,23426,367
61,34220,535
58,29260,458
33,4960,78
38,7770,122
50,18424,288
42,10660,167
35,5984,94
42,10660,167
21,1140,18
61,34220,535
31,4060,64
69,50116,784
41,9880,155
51,19600,307
31,4060,64
34,5456,86
52,20825,326
49,17296,271
47,15180,238
23,1540,25
39,8436,132
59,30856,483
25,2024,32
47,15180,238
55,24804,388
29,3276,52
62,35990,563
46,14190,222
46,14190,222
55,24804,388
48,16215,254
52,20825,326
32,4495,71
66,43680,683
32,4495,71
51,19600,307
44,12341,193
35,5984,94
50,18424,288
35,5984,94
51,19600,307
46,14190,222
75,64824,1013
55,24804,388
28,2925,46
37,7140,112
44,12341,193
30,3654,58
49,17296,271
53,22100,346
46,14190,222
14,286,5
41,9880,155
33,4960,78
18,680,11
48,16215,254
41,9880,155
27,2600,41
47,15180,238
43,11480,180
61,34220,535
30,3654,58
54,23426,367
